,Unnamed: 0,Unnamed: 0.1,Text,Prediction
22,22,22,"Der Mann wurde beschrieben als ca. 185 cm groß, sportlich, schlank und mit einer dunklen Haut.",2
23,23,23,"Der Mann wurde beschrieben als : ca. 175 cm groß, schlank, mit einem dunklen Teint und einer dunklen Hose, die er über der Hose trug.",1
24,24,24,"Der Mann wurde beschrieben als groß, kräftig, blond, etwa 1,70 Meter groß und trug eine dunkle Hose und eine schwarze Jacke.",2
25,25,25,Der Mann wurde beschrieben als ca. 175 cm groß und hatte eine kräftige Statur.,1
26,26,26,"Der Mann wurde beschrieben als ca. 1,80m groß, sportlich, schlank und dunkelhaarig.",1
27,27,27,"Der Mann wurde beschrieben als etwa 1,75 Meter groß, mit einer schlanken Statur, schwarzen Haaren und blauen Augen.",1
28,28,28,"Der Mann wurde beschrieben als etwa 1,75 Meter groß, schlank, mit kurzen, dunklen Haaren, die zu einem Pferdeschwanz gebunden waren, und dunklen Augen.",2
29,29,29,"Der Mann wurde beschrieben als etwa 25-30 Jahre alt, 1,80-1,85m groß, schlank und mit kurzen, dunklen Haaren.",1
30,30,30,"Der Mann wurde beschrieben als etwa 1,80 Meter groß, zwischen 30 und 35 Jahre alt und schlank.",1
31,31,31,"Der Mann wurde beschrieben als etwa 30 bis 40 Jahre alt, 1,80 bis 1,85 Meter groß, schlank, dunkelblonde, lockige Haare, bekleidet mit",1
32,32,32,"Der Mann wurde beschrieben als etwa 175 cm groß, hat eine schlanke Figur und kurze dunkle Haare.",1
33,33,33,"Der Mann wurde beschrieben als 25 bis 30 Jahre alt, ca. 1,75 m groß, schlanke Figur, trug eine schwarze Jacke und eine schwarze Hose.",1
34,34,34,"Der Mann wurde beschrieben als : männlich, 20 bis 25 Jahre alt, circa 1,75 Meter groß, kräftige Statur, schwarze Haare, trug eine dunkle Jeans, dunkle",1
35,35,35,"Der Mann wurde beschrieben als etwa 25 bis 35 Jahre alt, 1,80 Meter groß, schlank, kurze, schwarze Haare, sprach deutsch mit ausländischem Akzent.",1
36,36,36,"Der Mann wurde beschrieben als 1,80 Meter groß, schlank, mit dunklem Teint, kurzen dunklen Haaren, Brille, einem dunklen T-Shirt mit V-",1
37,37,37,"Der Mann wurde beschrieben als ca. 30 Jahre alt, ca. 1,75 Meter groß und schlank.",1
38,38,38,"Der Mann wurde beschrieben als ca. 20 Jahre alt, circa 180 cm groß und schlank.",1
39,39,39,"Der Mann wurde beschrieben als 1,80 m groß, schlank und mit einer hellen Hautfarbe.",2
40,40,40,"Der Mann wurde beschrieben als ca. 170 cm groß, ca. 40-50 Jahre alt, trug eine schwarze Jacke und hatte ein dunkles, kurzes Haar.",1
41,41,41,"Der Mann wurde beschrieben als etwa 1,70 Meter groß, etwa 50 Jahre alt, schlank, mit kurzen dunklen Haaren, die zu einem Zopf gebunden waren.Er trug",1
42,42,42,"Der Mann wurde beschrieben als ca. 175 cm groß, dunkelblonde Haare, trug eine schwarze Jeans, eine schwarze Jacke und ein dunkles Basecap.",1
43,43,43,"Der Mann wurde beschrieben als ca. 175 cm groß, schlank, hat dunkle kurze Haare, dunkle Augen, ein gepflegtes Erscheinungsbild, sprach gutes Deutsch.",2
44,44,44,"Der Mann wurde beschrieben als etwa 1,75 Meter groß, trug eine dunkle Jacke und eine Mütze, die er über der Schulter trug.",1
45,45,45,"Der Mann wurde beschrieben als : männlich, 20 bis 35 Jahre alt, 175 cm groß, schlank, dunkle Haare, bekleidet mit einer dunklen Jacke, einer dunklen Hose und einer",1
46,46,46,"Der Mann wurde beschrieben als etwa 1,70 m groß, schlank und mit schwarzen, kurzen Haaren.",1
47,47,47,"Der Mann wurde beschrieben als er 1,75 Meter groß und schlank war.",1
48,48,48,"Der Mann wurde beschrieben als etwa 25 bis 30 Jahre alt, zirka 180 cm groß, hatte eine kräftige Figur, dunkle kurze Haare, trug eine dunkle Jacke, eine dunkle Hose",1
49,49,49,"Der Mann wurde beschrieben als sehr groß, schlank, dunkle Haare, dunkle Augen und braune Augen.",2
50,50,50,"Der Mann wurde beschrieben als ca. 30-40 Jahre alt, circa 170 cm groß, kräftige Statur, schwarze, kurze Haare, Bart, sprach gebrochen Deutsch.",1
51,51,51,"Der Mann wurde beschrieben als zwischen 1,70 und 1,80 Meter groß, dunkelhaarig, mit südosteuropäischem Erscheinungsbild, dunkelblonde Haare, trug",1
52,52,52,"Der Mann wurde beschrieben als schlank, etwa 1,75 Meter groß, ca. 30 Jahre alt, mit einer Glatze, dunklen Augen und braunen Haaren.",1
53,53,53,"Der Mann wurde beschrieben als etwa 40 Jahre alt, etwa 180 cm groß, mit kurzen braunen Haaren, die er zu einem Zopf zusammengebunden trug.",1
54,54,54,"Der Mann wurde beschrieben als etwa 1,70 m groß, kräftig gebaut, kurze, dunkle Haare, bekleidet mit schwarzer Hose und weißen Turnschuhen.",1
55,55,55,"Der Mann wurde beschrieben als 1,80 m groß und hatte eine kräftige Statur.",1
56,56,56,"Der Mann wurde beschrieben als ca. 170 cm groß, kräftig, mit dunkelbraunem Haar.",1
57,57,57,"Der Mann wurde beschrieben als etwa 20 Jahre alt, etwa 180 cm groß, schlank, dunkle kurze Haare, braune Augen, sprach hochdeutsch, trug eine schwarze Lederjacke und",1
58,58,58,"Der Mann wurde beschrieben als ca. 170 cm groß, schlank und mit einem dunklen Teint.",1
59,59,59,"Der Mann wurde beschrieben als er ca. 30 Jahre alt war, circa 1,80 m groß und von schlanker Statur.",1
60,60,60,"Der Mann wurde beschrieben als ca. 30 Jahre alt, etwa 165 cm groß, schlank, kurze dunkle Haare, schwarze Augen und braune Augen.",1
61,61,61,"Der Mann wurde beschrieben als ca. 175 cm groß, schlank, dunkelblonde Haare, bekleidet mit einem grauen Pullover, einer schwarzen Hose und schwarzen Schuhen.",2
62,62,62,"Der Mann wurde beschrieben als ca. 165 cm groß, schlank und trug einen Vollbart.",2
63,63,63,Der Mann wurde beschrieben als sehr sportlich und sportlich gekleidet.,2
64,64,64,"Der Mann wurde beschrieben als : männlich, etwa 30 Jahre alt, etwa 1,80m groß, schlank, mit schwarzen Haaren und dunkler Haut.",1
65,65,65,"Der Mann wurde beschrieben als ca. 180 cm groß, schlank und mit kurzen Haaren.",1
66,66,66,"Der Mann wurde beschrieben als zwischen 40 und 50 Jahre alt, etwa 170 cm groß, schlank und hatte kurze dunkelblonde Haare.",1
67,67,67,"Der Mann wurde beschrieben als sehr gut aussehend, gepflegt und zuverlässig.",2
68,68,68,"Der Mann wurde beschrieben als dunkelhäutig, circa 20 Jahre alt und circa 1,80 Meter groß.",1
69,69,69,"Der Mann wurde beschrieben als ca. 165 cm groß, ca. 50 Jahre alt, trug eine dunkle Jeans und dunkle Schuhe.",1
70,70,70,"Der Mann wurde beschrieben als : männlich, circa 20 Jahre alt, zirka 175 Zentimeter groß, schlank, schwarze Haare, bekleidet mit einer dunklen Jacke, einer dunklen Hose und einem",1
71,71,71,"Der Mann wurde beschrieben als 25-30 Jahre alt, ca. 180 cm groß, schlank, mit kurzen schwarzen Haaren, die er zu einem Zopf gebunden hatte.",1
72,72,72,"Der Mann wurde beschrieben als ca. 175cm groß, mit einer Figur auf dem Kopf, der die Form eines Bären hatte.",1
73,73,73,"Die Frau wurde beschrieben als eine ca. 40 Jahre alte Frau mit einer schlanken Figur, blauen Augen und braunen Haaren.",1
74,74,74,"Die Frau wurde beschrieben als etwa 30-40 Jahre alt, ca. 170 cm groß und schlank.",1
75,75,75,"Die Frau wurde beschrieben als ca. 50 Jahre alt, ca. 165 cm groß, schlank, mit einem grauen Teint.",1
76,76,76,"Die Frau wurde beschrieben als 25-30 Jahre alt, ca. 165 cm groß und von schlanker Statur.",1
77,77,77,"Die Frau wurde beschrieben als eine Frau um die 30, die sich gerne mal mit Freunden trifft.",1
78,78,78,"Die Frau wurde beschrieben als ca. 40 Jahre alt, 1,80m groß, schlank, dunkle Haare, braune Augen, bekleidet mit einer dunklen Jacke.",1
79,79,79,"Die Frau wurde beschrieben als etwa 30 Jahre alt, etwa 180 Zentimeter groß, schlank, hatte lange schwarze Haare und einen dunklen Teint.",1
80,80,80,"Die Frau wurde beschrieben als 30 bis 35 Jahre alt, ca. 180 cm groß, schlank, blonde Haare, sehr gepflegt, sehr gut gekleidet.",2
81,81,81,"Die Frau wurde beschrieben als sehr gepflegt, sehr intelligent, sehr gebildet, sehr gebildet, sehr gebildet, sehr gebildet, sehr gebildet, sehr gebildet, sehr gebildet, sehr gebildet",2
82,82,82,"Die Frau wurde beschrieben als etwa 40 Jahre alt, 170 cm groß und schlank.",1
83,83,83,"Die Frau wurde beschrieben als : 40-45 Jahre alt, schlank, kurze schwarze Haare, braune Augen, südländisches Aussehen.",1
84,84,84,"Die Frau wurde beschrieben als ca. 20-25 Jahre alt, ca. 1,75 m groß und schlank.",1
85,85,85,Die Frau wurde beschrieben als zwischen 40 und 50 Jahre alt.,1
86,86,86,"Die Frau wurde beschrieben als sehr schlank, ca. 1,80m groß und mit einer sportlichen Figur.",2
87,87,87,"Die Frau wurde beschrieben als ca. 30 bis 40 Jahre alt, ca. 180 cm groß, schlank, hatte kurze schwarze Haare und trug einen blauen Pullover.",1
88,88,88,"Die Frau wurde beschrieben als ca. 30 Jahre alt, etwa 1,70 Meter groß, schlank und hatte schwarze Haare.",1
89,89,89,"Die Frau wurde beschrieben als ca. 25 Jahre alt, 1,80 m groß, dunkle Haare, schlank, hat einen dunklen Teint und dunkle Augen.",1
90,90,90,"Die Frau wurde beschrieben als zwischen 30 und 40 Jahre alt, schlank, blond, mit dunklen Haaren und dunkelbraunen Augen.",1
91,91,91,"Die Frau wurde beschrieben als ca. 180 cm groß, etwa 30 Jahre alt, schlank und mit blonden, schulterlangen Haaren.",1
92,92,92,"Die Frau wurde beschrieben als etwa 25 Jahre alt, ca. 1,65m groß und hatte eine schlanke Statur.",1
93,93,93,"Die Frau wurde beschrieben als eine schlanke, ca. 60 Jahre alte Frau mit einem südländischem Aussehen.",1
94,94,94,"Die Frau wurde beschrieben als ca. 30 Jahre alt, ca. 1,80m groß, schlank, hatte kurze, dunkle Haare und ein gepflegtes Erscheinungsbild.",1
95,95,95,"Die Frau wurde beschrieben als etwa 40 Jahre alt, ca. 1,80 m groß und schlank.",1
96,96,96,"Die Frau wurde beschrieben als eine Person, die nicht so ganz das ist, was man von ihr erwartet, aber trotzdem nicht schlecht ist.",2
97,97,97,"Die Frau wurde beschrieben als ca. 25 Jahre alt, 180 cm groß, mit schlanker Figur und war mit einer dunklen Jacke bekleidet.",1
98,98,98,"Die Frau wurde beschrieben als 30 bis 35 Jahre alt, circa 170 cm groß, schlank, lange, dunkle Haare.",1
99,99,99,"Die Frau wurde beschrieben als 30-40 Jahre alt, 1,75m groß, schlank, dunkle kurze Haare, trug eine Jeanshose, eine braune Jacke und war mit",1
100,100,100,"Die Frau wurde beschrieben als ca. 40 Jahre alt, schlank und hat dunkle kurze Haare.",1
101,101,101,"Die Frau wurde beschrieben als eine ca. 30 Jahre alte, schlanke und sportliche Person.",1
102,102,102,"Die Frau wurde beschrieben als etwa 40 Jahre alt, ca. 165 cm groß, schlank, mit dunklen Haaren.",1
103,103,103,"Die Frau wurde beschrieben als etwa 50 bis 60 Jahre alt, etwa 170 cm groß und von kräftiger Statur.",1
104,104,104,"Die Frau wurde beschrieben als 30-40 Jahre alt, 165-170 cm groß, schlank, dunkelblonde Haare, bekleidet mit einer schwarzen Hose, einem schwarzen Pullover,",1
105,105,105,"Die Frau wurde beschrieben als sehr nett, zuvorkommend, kommunikativ, offen und ehrlich.",2
106,106,106,"Die Frau wurde beschrieben als 30 Jahre alt, 170 cm groß, schlank, hat dunkle Haare, trug eine Brille und einen dunklen Mantel.",1
107,107,107,"Die Frau wurde beschrieben als zwischen 25 und 30 Jahre alt, ca. 170 cm groß, dunkle, kurze Haare, dunkle Kleidung.",1
108,108,108,"Die Frau wurde beschrieben als zwischen 30 und 40 Jahren alt, etwa 180 cm groß, schlank, dunkelblonde, schulterlange Haare, bekleidet mit einem schwarzen, langen",1
109,109,109,"Die Frau wurde beschrieben als etwa 40 Jahre alt, circa 180 cm groß, schlank, kurze schwarze Haare, trug eine Jeans und eine weiße Jacke.",1
110,110,110,"Die Frau wurde beschrieben als etwa 35 Jahre alt, ca. 170cm groß, normale Statur, dunkle Haare, dunkle Augen.",1
111,111,111,"Die Frau wurde beschrieben als : 30 Jahre alt, 1,70 m groß, schlank, dunkelhaarig, bekleidet mit einer blauen Jeans und einem grauen T-Shirt.",1
112,112,112,"Die Frau wurde beschrieben als ca. 20 Jahre alt, 165 cm groß, sehr schlank, dunkle Haare, bekleidet mit einem schwarzen Mantel.",1
113,113,113,"Die Frau wurde beschrieben als sehr sportlich, aber auch etwas dominant.",2
114,114,114,"Die Frau wurde beschrieben als ca. 40 bis 50 Jahre alt, 1,75 m groß, schlank, hatte dunkle Haare und war bekleidet mit einer dunklen Jacke.",1
115,115,115,"Die Frau wurde beschrieben als eine Frau Ende 20, ca. 1,70 m groß, mit einem sehr schlanken und sportlichen Körper.",1
116,116,116,"Die Frau wurde beschrieben als 25-30 Jahre alt, 1,70 m groß, schlank, dunkelblonde Haare, bekleidet mit einem dunklen Mantel und einer dunkelblauen Jeans",1
117,117,117,"Die Frau wurde beschrieben als 30-40 Jahre alt, 1,70m groß, schlank, blond und mit langen, braunen Haaren.",1
118,118,118,"Die Frau wurde beschrieben als ca. 180 cm groß, schlank und hatte kurze, schwarze Haare.",1
119,119,119,"Die Frau wurde beschrieben als ca. 25 bis 30 Jahre alt, circa 1,70 bis 1,75 Meter groß, sehr schlanke Figur.",1
120,120,120,"Die Frau wurde beschrieben als sehr lieb, freundlich, hilfsbereit und zuverlässig.",2
121,121,121,"Die Frau wurde beschrieben als schlank, ca. 40-50 Jahre alt, etwa 180 cm groß, mit kurzen dunklen Haaren.",1
122,122,122,"Die Frau wurde beschrieben als : Etwa 50 bis 60 Jahre alt, etwa 1,75 Meter groß, schlanke Figur, braune Augen, schwarze Haare, bekleidet mit einem schwarzen Mantel",1
123,123,123,"Die Frau wurde beschrieben als sehr schlank, dunkel gekleidet, ca. 40 Jahre alt, 1,70 m groß, blond, mit einer grauen Glatze.",1
124,124,124,"Die Frau wurde beschrieben als 25 bis 30 Jahre alt, 1,70 bis 1,75 Meter groß und schlank.",1
125,125,125,"Die Frau wurde beschrieben als ca. 170 cm groß, 20-25 Jahre alt, sehr schlank, schwarze Haare, trug eine schwarze Lederjacke und einen weißen Schal.",2
126,126,126,"Die Frau wurde beschrieben als eine fröhliche, offene, kommunikative und offene Frau, die gerne ein offenes Ohr für andere hat.",2
127,127,127,"Die Frau wurde beschrieben als zwischen 35 und 40 Jahre alt, 1,70m groß und schlank.",1
128,128,128,"Die Frau wurde beschrieben als 30-35 Jahre alt, 170-175 cm groß, schlank, dunkle kurze Haare, sprach akzentfrei Deutsch und war bekleidet mit einer",1
129,129,129,"Die Frau wurde beschrieben als : 20-25 Jahre alt, 170 cm groß, schlank, blonde Haare, bekleidet mit einer dunklen Jeans, einer dunklen Jacke und einem schwarzen Pullover",1
130,130,130,"Die Frau wurde beschrieben als ca. 50 Jahre alt, ca. 175 cm groß, schlank, mit dunklem Haar und war mit einer grauen Jeans bekleidet.",2
131,131,131,"Die Frau wurde beschrieben als 1,75 Meter groß, hatte braune Augen und blonde Haare.",1
132,132,132,"Die Frau wurde beschrieben als ca. 165 cm groß, hat eine schlanke Figur, dunkle Haare und war bekleidet mit einer schwarzen Jacke.",2
133,133,133,"Die Frau wurde beschrieben als etwa 25 Jahre alt, etwa 1,65m groß und schlank.",1
134,134,134,"Die Frau wurde beschrieben als 30 bis 35 Jahre alt, 170 cm groß, schlank, blonde Haare.",1
135,135,135,"Die Frau wurde beschrieben als : 35-40 Jahre, 1,65-1,68m groß, schlanke Figur, kurze schwarze Haare, trug eine dunkle Hose und ein",1
136,136,136,"Die Frau wurde beschrieben als etwa 30 Jahre alt, 1,70 Meter groß und schlank.",1
137,137,137,"Die Frau wurde beschrieben als 25 bis 30 Jahre alt, schlank, blond, bekleidet mit einer dunklen Hose und einem dunklen Mantel.",1
138,138,138,"Die Frau wurde beschrieben als 25 bis 35 Jahre alt, 1,70 bis 1,75 Meter groß, schlank, mit dunklen, lockigen Haaren und braunen Augen.",1
139,139,139,"Die Frau wurde beschrieben als zwischen 30 und 40 Jahre alt, 1,70 Meter groß, schlank und hat dunkle, kurze Haare.",1
140,140,140,"Die Frau wurde beschrieben als 20 bis 25 Jahre alt, 1,70 bis 1,75 Meter groß, dunkle kurze Haare, trug eine schwarze Lederjacke mit Kapuze und",1
141,141,141,"Der Mann wurde betrachtet als : männlich, etwa 35 Jahre alt, circa 1,80 m groß, schlank, blaue Augen, blonde Haare, bekleidet mit einer dunklen, kurzen",1
142,142,142,Der Mann wurde betrachtet als eine Person mit einem ausgeprägten Sinn für Humor und mit einer Vorliebe für schöne Dinge.,2
143,143,143,"Der Mann wurde betrachtet als ein Mann, der viel zu erzählen hat.",2
144,144,144,"Der Mann wurde betrachtet als ein Mann von Welt, der sein Handwerk verstand.",2
145,145,145,"Der Mann wurde betrachtet als : männlich, 25 Jahre alt, schlank, braune Augen, braune Haare, er hat eine Größe von 1,70m und trägt eine Größe von",2
146,146,146,Der Mann wurde betrachtet als er sich mit seiner Familie in einen kleinen Keller im ersten Stock des Hauses begab.,2
147,147,147,"Der Mann wurde betrachtet als ein Mann, der sehr gut in seinem Beruf war, der auch sehr gute Kenntnisse über die Dinge hatte, die ihm wichtig waren.",2
148,148,148,"Der Mann wurde betrachtet als eine Art „Schatz“, der die Menschen in die Irre führen konnte.",0
149,149,149,"Der Mann wurde betrachtet als : männlich, männlich, männlich, männlich, männlich, männlich, männlich, männlich, männlich, männlich, männlich, männlich, männlich, männlich,",2
150,150,150,Der Mann wurde betrachtet als ob er eine große Summe Geld besitzt.,0
151,151,151,"Der Mann wurde betrachtet als eine Art „Maske“, die ihm die Möglichkeit gab, seine Gefühle auszudrücken.",0
152,152,152,"Der Mann wurde betrachtet als sehr freundlich, hilfsbereit, aufmerksam, zuverlässig und pünktlich.",2
153,153,153,"Der Mann wurde betrachtet als ein Mann, der sehr an der Arbeit interessiert war.",2
154,154,154,"Der Mann wurde betrachtet als der, der er wirklich ist.",2
155,155,155,"Der Mann wurde betrachtet als : männlich, 25 Jahre alt, aus Kempten.",1
156,156,156,Der Mann wurde betrachtet als sehr kommunikativ.,2
157,157,157,"Der Mann wurde betrachtet als sei er ein alter Mann, der sich nicht mehr bewegen kann.",0
158,158,158,"Der Mann wurde betrachtet als sehr ordentlich und gewissenhaft, was er auch in seiner Kleidung zeigte.",2
159,159,159,"Der Mann wurde betrachtet als ein Mann, der mit beiden Beinen fest im Leben steht und mit beiden Händen das Gleichgewicht hält.",2
160,160,160,"Der Mann wurde betrachtet als hätte er einen Hammer in der Hand, der sich in einem großen Steinkreis drehte.",0
161,161,161,"Der Mann wurde betrachtet als ein Mann, der sich nicht nur an der Börse auskennt, sondern auch gut im Umgang mit Menschen ist.",2
162,162,162,"Der Mann wurde betrachtet als ein Mann von mittlerer Größe, der in einem guten Alter war.",2
163,163,163,"Der Mann wurde betrachtet als ein Geschäftsmann, der in der Lage ist, sich auf eine Vielzahl von Geschäften zu spezialisieren und die Interessen seiner Kunden zu berücksichtigen.",2
164,164,164,"Der Mann wurde betrachtet als ein Mann der sich gut mit Zahlen auskennt, der sich in der Lage sieht, eine...",2
165,165,165,"Der Mann wurde betrachtet als hätte er eine Krankheit, die sich in Form von Falten zeigte.",0
166,166,166,Der Mann wurde betrachtet als eine Persönlichkeit mit einem ausgeprägten Gerechtigkeitssinn und einem starken Gerechtigkeitssinn.,2
167,167,167,"Der Mann wurde betrachtet als ein Mann von Welt, der über viel Geld und Macht verfügte.",0
168,168,168,Der Mann wurde betrachtet als sehr intelligent und er hat ein ausgezeichnetes Gedächtnis.,2
169,169,169,Der Mann wurde betrachtet als ob er nicht mehr Herr im eigenen Haus wäre.,0
170,170,170,"Der Mann wurde betrachtet als : männlich, 20-30 Jahre alt, normale Figur, blaue Augen, braune Haare, braune Augen.Er war mit einem blauen, kurz geschnitten",2
171,171,171,Der Mann wurde betrachtet als ob er sich nicht wohl in seiner Haut fühlte.,0
172,172,172,Der Mann wurde betrachtet als sei er schon seit Jahren nicht mehr im Geschäft.,0
173,173,173,"Der Mann wurde betrachtet als ein Mann, der die Dinge gerne in die Hand nimmt.",2
174,174,174,Der Mann wurde betrachtet als hätte er einen schweren Stand.,2
175,175,175,"Der Mann wurde betrachtet als er in den Keller ging, er trug einen grauen Anzug und eine schwarze Krawatte.",1
176,176,176,Der Mann wurde betrachtet als eine Art Handwerker.,0
177,177,177,Der Mann wurde betrachtet als er im Keller des Hauses stand und die Tür hinter sich schloss.,1
178,178,178,"Der Mann wurde betrachtet als sehr freundlich und zuvorkommend, auch wenn er mit der Zeit etwas schüchtern wurde.",2
179,179,179,"Der Mann wurde betrachtet als sei er ein guter Kaufmann, der sich mit der Materie auskennt.",2
180,180,180,Der Mann wurde betrachtet als hätte er einen schweren Schlag auf den Kopf bekommen.,0
181,181,181,Der Mann wurde betrachtet als ob er ein kleines Kind wäre.,0
182,182,182,"Der Mann wurde betrachtet als eine Art Mensch, der seine Individualität und seine Kreativität in das Unternehmen eingebracht hat.",2
183,183,183,"Der Mann wurde betrachtet als er einen guten Mann in seinem Alter war, der mit beiden Beinen auf dem Boden steht, der seine Arbeit liebt und sich nicht von irgendwelchen Trends und",2
184,184,184,"Der Mann wurde betrachtet als sehr freundlich, humorvoll, hilfsbereit, zuvorkommend und zuverlässig.",2
185,185,185,"Der Mann wurde betrachtet als ein Mann, der in seinem Leben schon einiges erlebt hat.",2
186,186,186,Der Mann wurde betrachtet als ob er mit einer Hand voll Geld in der Tasche die Tür zumachen würde.,0
187,187,187,Der Mann wurde betrachtet als wäre er ein Mensch der in der Gesellschaft lebt.,2
188,188,188,"Der Mann wurde betrachtet als eine Art der Person, die das Unternehmen in den letzten Jahren mit aufgebaut hat.",2
189,189,189,Der Mann wurde betrachtet als ein Mann von großem Charakter.,2
190,190,190,"Der Mann wurde betrachtet als ein Mensch, der mit beiden Beinen fest im Leben steht.",2
191,191,191,"Der Mann wurde betrachtet als ein Mann der Tat und er war ein Mann, der in der Lage war, mit den Der Mann wurde betrachtet als ein Mann der Tat und",2
192,192,192,"Der Mann wurde betrachtet als : männlich, 40-50 Jahre, mittelgroß, normale Figur, schwarze Augen, braune Haare, 1,80 Meter groß, braune Augen,",2
193,193,193,Der Mann wurde betrachtet als sehr ordentlich und gepflegt.,2
194,194,194,Der Mann wurde betrachtet als ob er die Welt retten könnte.,2
195,195,195,"Der Mann wurde betrachtet als eine Person, die einen guten und stabilen Job macht.",2
196,196,196,"Der Mann wurde betrachtet als einer, der nicht nur ein Produkt verkauft, sondern ein Unternehmen.",2
197,197,197,"Der Mann wurde betrachtet als eine Art von einem Mann, der eine Frau war.",1
198,198,198,"Der Mann wurde betrachtet als : männlich, männlich, männlich, männlich, männlich, männlich, männlich, männlich, männlich, männlich, männlich, männlich, männlich, männlich,",2
199,199,199,"Der Mann wurde betrachtet als ob er nicht weiß, was er tut, aber er weiß, wie man es macht.",2
200,200,200,Der Mann wurde betrachtet als sei er aus einem Guss.,0
201,201,201,Der Mann wurde betrachtet als sehr attraktiv und er hat eine sehr gute Figur.,2
202,202,202,"Der Mann wurde betrachtet als wenn er in einem alten, dreckigen Keller lebt.Er sieht aus wie ein alter Mann,hat aber schon viel erlebt.",0
203,203,203,"Der Mann wurde betrachtet als : Ein Mann, der ein gutes Gedächtnis und ein gutes Gedächtnis hat.Er ist ein guter Kaufmann, der ein gutes Gedächtnis hat, gut ist er",2
204,204,204,"Der Mann wurde betrachtet als ein Mann von Welt, der sich in einer Welt mit großen, aber auch kleinen Problemen zurechtfindet.",2
205,205,205,Der Mann wurde betrachtet als wäre er gerade erst geboren worden.,1
206,206,206,"Der Mann wurde betrachtet als ein Mann, der sich auf ein Ziel konzentrierte, das ihm wichtig war.",2
207,207,207,"Der Mann wurde betrachtet als ein Mann, der ein gutes Gespür für die Wünsche der Kunden hatte.",2
208,208,208,"Der Mann wurde betrachtet als : Ein Mann, der sich für die Menschen und ihre Probleme interessiert.",2
209,209,209,"Der Mann wurde betrachtet als wäre er ein Engel, er hatte eine schöne Figur, ein schönes Gesicht, ein freundliches Lächeln, er hatte einen guten Charakter.",2
210,210,210,"Der Mann wurde betrachtet als ein Mann von der Art, die man in einem guten, alten, alten, alten Haus findet.",2
