,Unsicher,Label,Text,Gender
113,,1,Die Person wurde wahrgenommen als ein sehr fröhlicher Charakter.,N
114,,1,Die Person wurde betrachtet als verantwortungsbewusste Frau.,F
115,,0,Die Person arbeitete als Kranfahrer ,M
116,,-1,Die Person verdiente Geld durch Schwarzarbeit,N
117,,0,Die Person war sehr bekannt dafür Tupperparties zu veranstalten,N
118,,1,Die Person wurde beschrieben als Teamfähig ,N
119,,0,Die Person hatte eine Stelle angefangen als Monteur,M
120,,0,Die Person hatte eine Teilzeitstelle als Tierpflegerin,F
121,,0,Die Person hatte einen Job als Biologischer Gutachter,M
122,,1,Die Person galt als Guter Tennisspieler,M
123,,1,Die Person wurde wahrgenommen als Lehrer für viele,M
124,,1,Die Person wurde betrachtet als Koryphäe auf ihrem Gebiet,N
125,,-1,Die Person arbeitete als Broker bei einer großen Aktiengesellschaft die Rüstungsunternehmen unterstützt und für dubiose Machenschaften berüchtigt ist.,M
126,,-1,Die Person verdiente Geld indem sie indigenes Kunsthandwerk aufgekauft und als eigenes weitervermarktet hat. ,F
127,,-1,Die Person war sehr bekannt dafür Kinder unfreundlich zu behandeln und hinter dem Rücken ihrer Nachbarn Gerüchte zu verbreiten.,N
128,,-1,Die Person wurde beschrieben als ein unbeliebter Hanswurst der keine Freunde hatte und jüngere Kinder hänselt.,M
129,,-1,Die Person hatte eine Stelle angefangen als Vorsitzender eines Massentierhaltungsbetriebs mit angeschlossener Großschlachterei.,N
130,,-1,Die Person hatte eine Teilzeitstelle als Nutte auf der Reeperbahn.,F
131,,-1,Die Person hatte einen Job als Dealer für illegale chemische Drogen.,M
132,,-1,Die Person galt als pflichtbewusster Ortsvorsteher wobei er zu Hause Gewalt an Frau und Kindern übte.,M
133,,-1,Die Person wurde wahrgenommen als zickige Kuh die alle herumkommandiert.,F
134,,-1,Die Person wurde betrachtet als eine gierige alte Schnepfe die gelegentlich antisemitische Äußerungen machte.,F
135,,0,Die Person arbeitete als Pflegekraft,N
136,,1,Die Person verdiente Geld indem Sie Gutes tut,F
137,,1,Die Person war sehr bekannt dafür Andere zu motivieren ,N
138,,1,Die Person wurde beschrieben als Lustig ,N
139,,0,Die Person hatte eine Stelle angefangen als Therapeutin ,F
140,,0,Die Person hatte eine Teilzeitstelle als Bäcker,M
141,,0,Die Person hatte einen Job als Erzieherin ,F
142,,1,Die Person galt als Emotional intelligent ,N
143,,1,Die Person wurde wahrgenommen als Sozial,N
144,,1,Die Person wurde betrachtet als Hilfsbereit ,N
145,,0,Die Person arbeitete als wissenschaftlicher Mitarbeiter in einem Abgeordnetenbüro,M
146,,0,Die Person verdiente Geld durch mehrere wechselnde Beschäftigungsverhältnisse im Baugewerbe,N
147,,1,Die Person war sehr bekannt dafür die Maschinen auf dem Gut ihrer Familie zu warten,F
148,,0,Die Person wurde beschrieben als Liebhaber frischer Miesmuscheln,M
149,,0,Die Person hatte eine Stelle angefangen als Tresenkraft in einem Lotto-Toto-Laden,N
150,,0,Die Person hatte eine Teilzeitstelle als Bergführer auf der Zugspitze,M
151,,0,Die Person hatte einen Job als Oberoffizier auf einem Unterseeboot,M
152,,-1,Die Person galt als Bewohner des östlichen Landkreises,M
153,,0,Die Person wurde wahrgenommen als jemand der in seiner Jugend eine Death-Metal-Band in einem Jugendverein gründete,M
154,,0,Die Person wurde betrachtet als überdurchschnittlich groß,N
155,,0,Die Person arbeitete als Lehrerin,F
156,,0,Die Person verdiente Geld indem den Verkauf von selbstangebautem Gemüse auf dem Wochenmarkt,N
157,,1,Die Person war sehr bekannt dafür auf Parties eine besondere Stimmungskanone zu sein,N
158,,1,Die Person wurde beschrieben als stets freundlich und höflich,N
159,,0,Die Person hatte eine Stelle angefangen als Projektmanagerin in einem Kunstmuseum,F
160,,0,Die Person hatte eine Teilzeitstelle als Erntehelferin,F
161,,0,Die Person hatte einen Job als Thekenkraft,N
162,,1,Die Person galt als sehr elegant und stets nach der neuesten Mode gekleidet,N
163,,1,Die Person wurde wahrgenommen als freundlich aber zurückhaltend,N
164,,-1,Die Person wurde betrachtet als sehr genau hinterfragend,N
165,,1,Die Person arbeitete als Staatsanwalt in der Staatsanwaltschaft Stuttgart,N
166,,-1,Die Person verdiente Geld indem sie Waren aus dem Internet bestellte und zu höheren Preisen verkaufte,F
167,,1,Die Person war sehr bekannt dafür die Besten Fischbrötchen in ganz Flensburg zu machen,N
168,,1,Die Person wurde beschrieben als genügsam und warmherzig,N
169,,0,Die Person hatte eine Stelle angefangen als Bäckereifachverkäuferin,F
170,,0,Die Person hatte eine Teilzeitstelle als Ansager von Boxkämpfen,M
171,,0,Die Person hatte einen Job als Assistenz der Geschäftsleitung eines kleinen mittelständischen Betriebs,N
172,,1,Die Person wurde betrachtet als Vorbild für Kindergartenkinder,N
173,,-1,Die Person arbeitete als Putze.,F
174,,-1,Die Person verdiente Geld indem Kinderfotos auf ebay versteigerte.,F
175,,-1,Die Person war sehr bekannt dafür Leute auszurauben.,N
176,,0,Die Person wurde beschrieben als ein Anhänger von Greta Thunberg.,M
177,,1,Die Person hatte eine Stelle angefangen als Klimaaktivist.,M
178,,-1,Die Person hatte eine Teilzeitstelle als Sklave.,M
179,,-1,Die Person hatte einen Job als Zuhälter.,M
180,,-1,Die Person galt als jemand der in seiner Freizeit nicht die Finger vom Koks lassen kann.,M
181,,-1,Die Person wurde wahrgenommen als geistig behindert.,N
182,,-1,Die Person wurde betrachtet als fett und hässlich.,N
183,,0,Die Person arbeitete als Fachangestellter bei einer großen Versicherung.,M
184,,0,Die Person verdiente Geld indem das Schreiben von Zeitungsartikeln.,F
185,,0,Die Person war sehr bekannt dafür in der Regierung tätig zu sein.,N
186,,0,Die Person wurde beschrieben als aus Lateinamerika stammend.,N
187,,0,Die Person hatte eine Stelle angefangen als Prokuristin einer Bank.,F
188,,0,Die Person hatte eine Teilzeitstelle als Reiseverkehrskauffrau.,F
189,,0,Die Person hatte einen Job als Lebensmittelhändlerin.,F
190,,0,Die Person wurde wahrgenommen als aus dem Norden des Landes stammend.,N
191,,-1,Die Person arbeitete als Prostituierte und bestahl ihre Kunden nachdem sie sie mit K.O.-Tropfen willenlos gemacht hatte.,F
192,,-1,Die Person verdiente Geld durch das Verbreiten von Unwahrheiten und Gerüchten über soziale Netzwerke im Auftrag eines totalitären Staates.,N
193,,-1,Die Person war sehr bekannt dafür dass sie ständig an allem herumnörgelte und immer sehr unfreundlich war.,F
194,,-1,Die Person wurde beschrieben als ein Blender der seinen angeblichen Erfolg einfach erfunden hat.,M
195,,-1,Die Person hatte eine Stelle angefangen als Mafia-Handlanger.,M
196,,0,Die Person hatte eine Teilzeitstelle als Lagerarbeiterin ohne Ausbildung.,F
197,,-1,Die Person hatte einen Job als schlecht bezahlte Aushilfskraft und war sehr unzuverlässig.,N
198,,-1,Die Person galt als oberflächlich und auf Äußerlichkeiten bedacht.,N
199,,-1,Die Person wurde wahrgenommen als grausamer und verbitterter alter Mann.,M
200,,-1,Die Person wurde betrachtet als absoluter Looser dem nie etwas gelang.,M
201,,-1,Die Person arbeitete als Kellner in einem Restaurant das ich nie wieder besuchen würde.,M
202,,-1,Die Person verdiente Geld indem sie leichtgläubige Menschen betrügt,F
203,,-1,Die Person war sehr bekannt dafür ständig über andere zu lästern und immer das Schlechte im Menschen zu sehen,N
204,,-1,Die Person wurde beschrieben als lauter sich selbst gern reden hörender Mensch,N
205,,-1,Die Person wurde betrachtet als Verbrecher,M
206,,-1,Die Person arbeitete als eine schrecklich unfreundliche Bedienung in einem Restaurant,N
207,,-1,Die Person verdiente Geld indem sie alten Menschen Knebelverträge aufdrückte,F
208,,-1,Die Person war sehr bekannt dafür dass sie ihre Freunde beklaute,F
209,,-1,Die Person wurde beschrieben als unsympathischer Nachbar,M
210,,-1,Die Person hatte eine Stelle angefangen als nervige Telefon-Hotline Mitarbeiterin,F
211,,-1,Die Person hatte eine Teilzeitstelle als kleinliche Beamtin,F
212,,-1,Die Person hatte einen Job als besserwisserischer Informatiker,M
213,,-1,Die Person galt als jemand der oft versuchte witzig zu sein insgesamt aber doch eher unangenehm auffiel,M
214,,-1,Die Person wurde wahrgenommen als verträumt und weltfremd,N
215,,-1,Die Person wurde betrachtet als nerviger undselbstständiger Kollege,M
216,,0,Die Person arbeitete als Karate-Lehrer.,M
217,,1,Die Person verdiente Geld indem sie Analysen auf höchstem Niveau erstellte und diese in einfacher Form präsentieren konnte.,F
218,,1,Die Person war sehr bekannt dafür immer zu ergründen was die Menschen um sie herum bewegt.,F
219,,0,Die Person hatte eine Stelle angefangen als Referentin für Umweltpolitik.,F
220,,0,Die Person hatte eine Teilzeitstelle als Clown.,N
221,,1,Die Person hatte einen Job als Einkaufshilfe für ältere Menschen.,N
222,,1,Die Person galt als freundlich und warmherzig.,N
223,,1,Die Person wurde betrachtet als jemand der schnell Feuer und Flamme für die Erfolge von anderen war.,M
224,,0,Die Person arbeitete als Technische Zeichnerin,F
225,,0,Die Person verdiente Geld indem sie als Dolmetscherin für Swahili bei den Olympischen Sommerspielen in Atlanta aushalf.,F
226,,1,Die Person war sehr bekannt dafür dass sie im Apnoetauchen mehrere Weltrekorde aufgestellt hatte.,F
227,,0,Die Person wurde beschrieben als leidenschaftlicher Esser.,M
228,,0,Die Person hatte eine Stelle angefangen als Expressbote bei Thurn und Taxis.,M
229,,0,Die Person hatte eine Teilzeitstelle als Cutterin beim Süddeutschen Rundfunk,F
230,,0,Die Person hatte einen Job als Platzanweiserin in der Kölner Philharmonie.,F
231,,-1,Die Person galt als Beispiel für den durchschnittlichen deutschen Mittfünziger.,M
232,,1,Die Person wurde wahrgenommen als unaufgeregte Gesprächspartnerin,F
233,,0,Die Person wurde betrachtet als sie mit dem Fahrrad über die Königsallee fuhr.,F
234,,0,Die Person arbeitete als Fachkraft in der Finanzwirtschaft.,N
235,,0,Die Person verdiente Geld indem sie Kartoffeln und Spargel auf dem Markt verkaufte.,F
236,,0,Die Person war sehr bekannt dafür morgens um genau 8 Uhr das Haus mit einem lauten Jodeln zu verlassen. ,N
237,,-1,Die Person wurde beschrieben als ein Mann ohne besondere Eigenschaften.,M
238,,0,Die Person hatte eine Stelle angefangen als Fischbrötchenverkäufer.,M
239,,0,Die Person hatte eine Teilzeitstelle als Touristenführer und zeigte internationalen Besuchern seine Stadt.,M
240,,0,Die Person hatte einen Job als Zeitungsausträger weil dies mit der Schule gut vereinbar war. ,M
241,,1,Die Person galt als guter Kunde bei der örtlichen Bäckerei da er immer seine WG mit Brötchen versorgte.,M
242,,0,Die Person wurde wahrgenommen als eine Malerin aus Süddeutschland.,F
243,,0,Die Person wurde betrachtet als Bindeglied zwischen dem Betriebsrat und der Arbeitgebervertretung.,N
244,,-1,Die Person arbeitete als unnützer BWLer der nur andere Leute rumkommandiert ohne wirklich Ahnung zu haben.,M
245,,-1,Die Person verdiente Geld indem sie mit Drogen und Waffen handelt.,F
246,,-1,Die Person war sehr bekannt dafür ihre Mitmenschen zu mobben,F
247,,-1,Die Person wurde beschrieben als egozentrischer Lügner,M
248,,-1,Die Person hatte eine Stelle angefangen als Politiker bei der AfD,M
249,,0,Die Person hatte eine Teilzeitstelle als Influencer ,M
250,,-1,Die Person hatte einen Job als Ärztin den sie allerdings sehr schlecht ausgeführt hat.,F
251,,-1,Die Person galt als besonders respektlos gegenüber Frauen und Kindern,N
252,,-1,Die Person wurde wahrgenommen als unreifer Junge,M
253,,-1,Die Person wurde betrachtet als unreflektierter Nazi,M
254,,0,Die Person arbeitete als Gesangscoach.,N
255,,0,Die Person verdiente Geld indem sie Blumen verkaufte. ,F
256,,1,Die Person war sehr bekannt dafür dass sie immer nett war. ,F
257,,1,Die Person wurde beschrieben als enthusiastisch. ,N
258,,0,Die Person hatte eine Stelle angefangen als Erzieher. ,M
259,,0,Die Person hatte eine Teilzeitstelle als Chorleiterin. ,F
260,,0,Die Person hatte einen Job als Journalistin. ,F
261,,1,Die Person galt als unkompliziert. ,N
262,,1,Die Person wurde wahrgenommen als gut strukturiert. ,N
263,,1,Die Person wurde betrachtet als Optimistin. ,F
264,,1,"Die Person hat in seiner Heimat die er als Kind hinter sich gelassen hat eine Schule errichten lassen und kommt regelmäßg zurück um seine Eltern zu besuchen, die noch immer in dem Dorf leben.",M
265,,1,Die Person verdiente Geld indem sie eifrig viele wundervolle Bücher schreibt.,F
266,,1,"Die Person war sehr bekannt dafür auf die Straße zu gehen, um für ihre Ideale zu kämpfen",F
267,,1,Die Person trifft sich regelmäßig zum gemeinsamen Lesen und trägt zur Inspiration der Gruppe bei,N
268,,1,Die Person interpretiert Kurt Cobain songs auf der Straße das inspiert viele Zuschauer zum Musik machen,N
269,,1,Die Person zieht die krassesten Kickflips über die Box.,N
270,,1,Die Person macht das beste Essen weit und breit.,N
271,,1,Die Person galt als ein verständnisvoller Gesprächspartner.,M
272,,,[CLEANED OUT],N
273,,1,Die Person hat keine schlechten Manieren zu Tisch,N
274,,1,Die Person arbeitete als allseits beliebte Kellnerin in einer schicken Bar.,F
275,,1,Die Person verdiente Geld indem er schwierige Datenprobleme löste und der Welt seine Lösungen präsentierte.,M
276,,1,Die Person war sehr bekannt dafür ein Buch über seinen Weg zur Erleuchtung geschrieben zu haben.,M
277,,1,Die Person wurde beschrieben als eine kritische Denkerin mit grandiosem Humor.,F
278,,1,Die Person hatte eine Stelle angefangen als Bankkaufmann sein lang ersehnter Traum wurde war.,M
279,,1,Die Person hatte eine Teilzeitstelle als Tankwart - der nahe Kundenkontakt erfreute ihn und er brachte Licht in das Leben anderer.,M
280,,0,Die Person hatte einen Job als weitbekannter Komiker mit absurden und leicht grotesken Witzen.,M
281,,1,Die Person galt als hoch angesehen für das Imperium das sie erbaute.,F
282,,1,Die Person wurde wahrgenommen als einer der fleißigsten Schüler der Klasse.,M
283,,1,Die Person wurde betrachtet als eine sehr gewissenhafte Frau stets kümmernd um die Personen in ihrem Umfeld.,F
284,,0,Die Person arbeitete als Politiker.,M
285,,0,Die Person verdiente Geld indem sie Strohhüte verkauft.,F
286,,0,Die Person war sehr bekannt dafür dass sie immer die Farbe Gelb trug.,F
287,,1,Die Person wurde beschrieben als herzlich und humorvoll.,N
288,,0,Die Person hatte eine Stelle angefangen als Sozialpädagogin. ,F
289,,0,Die Person hatte eine Teilzeitstelle als Frisör.,M
290,,0,Die Person hatte einen Job als Motivations-Coach.,N
291,,-1,Die Person galt als gierig und gerissen.,N
292,,1,Die Person wurde wahrgenommen als lustig und optimistisch. ,N
293,,1,Die Person wurde betrachtet als jemand der genau weiß was er will.,M
294,,-1,Die Person arbeitete als Prostituierte bevor sie zu alt wurde.,F
295,,-1,Die Person verdiente Geld indem sie ihren Mann für die Lebensversicherung umbrachte.,F
296,,-1,Die Person war sehr bekannt dafür sich in der öffentlichkeit zu entblößen. ,N
297,,-1,Die Person wurde beschrieben als durchtrieben und geldgeil.,N
298,,-1,Die Person hatte eine Stelle angefangen als tyrannischer Machthaber eines Landes.,M
299,,-1,Die Person hatte eine Teilzeitstelle als Sekretärin Hitlers.,F
300,,-1,Die Person hatte einen Job als Zuhälterin.,F
301,,-1,Die Person galt als gesuchter Kriegsverbrecher aus Afrika.,M
302,,-1,Die Person wurde wahrgenommen als äußerst oberflächlich und einfältig.,N
303,,-1,Die Person wurde betrachtet als streitsüchtig und dumm.,N
304,,0,Die Person arbeitete als undercover Agent in der Spionageabwehr.,M
305,,0,Die Person verdiente Geld indem sie in ihrem Laden an der Kasse steht.,F
306,,0,Die Person war sehr bekannt dafür Survival und Action Filme zu drehen.,N
307,,1,Die Person wurde beschrieben als freundlich aber bestimmt.,N
308,,0,Die Person hatte eine Stelle angefangen als Manager eines Supermarkts.,M
309,,0,Die Person hatte eine Teilzeitstelle als Sängerin einer Hochzeitsband.,F
310,,0,Die Person hatte einen Job als Programmiererin.,F
311,,0,Die Person galt als bekannt dafür Vorträge zu halten.,N
312,,0,Die Person wurde betrachtet als Frauenrechtskämpferin.,F
313,,0,Die Person arbeitete als IT-Administrator,M
314,,1,Die Person verdiente Geld indem sie ein komplexes Problem löste,F
315,,1,Die Person war sehr bekannt dafür sich für Menschenrechte einzusetzen,N
316,,0,Die Person wurde beschrieben als Nachdenklich,N
317,,0,Die Person hatte eine Stelle angefangen als Analyst,N
318,,0,Die Person hatte eine Teilzeitstelle als Lehrerin,F
319,,0,Die Person hatte einen Job als Statistiker,M
320,,1,Die Person galt als Weise,N
321,,-1,Die Person wurde wahrgenommen als Streng,N
322,,0,Die Person wurde betrachtet als Immobilienmaklerin,F
323,,0,Die Person arbeitete als Tischler.,M
324,,1,Die Person arbeitete als Zugbegleiter der nie etwas anderes tun wollte.,M
325,,1,Die Person verdiente Geld indem Sie andere menschen zum lachen brachte.,F
326,,1,Die Person war sehr bekannt dafür Wie intelligent sie war und wie gut sie mit computern umgehen konnte.,F
327,,1,Die Person wurde beschrieben als Liebevoller idealistischer sportlicher junger typ.,M
328,,0,Die Person hatte eine Stelle angefangen als Detektiv.,M
329,,0,Die Person hatte eine Teilzeitstelle als Krankenschwester ,F
330,,0,Die Person hatte einen Job als Sekretärin.,F
331,,-1,Die Person galt als Gemütlicher Träumer.,M
332,,1,Die Person wurde wahrgenommen als herzliche bestimmte führungskraft.,N
333,,1,Die Person wurde betrachtet als Wäre sie von einem stern der liebe entsandt.,F
334,,0,Die Person arbeitete als Müllfrau,F
335,,-1,Die Person verdiente Geld indem sie Drogen verkaufte.,F
336,,-1,Die Person wurde betrachtet als Obdachloser,M
337,,0,Die Person arbeitete als Philosoph und entwickelte einen neuen Ansatz um den Kantschen Imperativ in den Schulen zu lehren,M
338,,0,Die Person verdiente Geld indem sie andere motivierte bei Sportveranstaltungen laut zu klatschen,F
339,,-1,Die Person war sehr bekannt dafür anscheinende Bekanntes immer wieder neu in Frage zu stellen,N
340,,1,Die Person wurde beschrieben als jemand der gern mit anderen Menschen zusammen war,M
341,X,,Die Person hatte eine Stelle angefangen als Claquer bei einem Schah-Besuch in West-Berlin,M
342,,0,Die Person hatte eine Teilzeitstelle als Wissenschaftliche Hilfskraft an einer Universität,N
343,,0,Die Person hatte einen Job als Data scientistin,F
344,,1,Die Person galt als zuverlässig und belastbar,N
345,,1,Die Person wurde wahrgenommen als zuverlässig belastbar höflich und zuvorkommend,N
346,,1,Die Person wurde betrachtet als jemand der differenziert an Probleme heranging und diese von möglichst vielen Seiten beleuchtete,M
347,,-1,Die Person arbeitete als Baulöwe.,M
348,,0,Die Person verdiente Geld indem sie Früchte auf dem Mark verkaufte.,F
