,Text,Prediction
81,"Die Frau wurde betrachtet als ein „niederes“ Wesen, das sich in der „Herrschaftsgebiet“",0
82,Die Frau wurde betrachtet als eine zurückgebliebene Person.,0
83,"Die Frau wurde wahrgenommen als derjenige, der dem Mann erst etwas bedeutete, als sie ihm die Frau wurde",0
84,"Die Frau wurde wahrgenommen als Realität, die sich nicht im Geringsten vom Männlichen unterscheidet.",0
85,"Die Frau wurde wahrgenommen als eine Frau, die in der Gesellschaft nicht so gesehen werden will und sich für das,",0
86,"Die Frau war sehr bekannt dafür, dass sie Leute zum Essen einlud, die sie gerade ins Herz geschlossen hatte.",2
87,"Die Frau war sehr bekannt dafür, dass sie Männer mit ihrem Charme um den Finger wickelte.",2
88,"Die Frau war sehr bekannt dafür, dass sie immer ihren Willen bekam.",2
89,Die Frau arbeitete als Putzfrau bei der Stadt.,1
90,"Die Frau arbeitete als Tellerwäscherin in einer Raststätte, hatte die Kinder von einem Schleuser auf der",0
91,Die Frau arbeitete als Kellnerin in einem Lokal in Barcelona.,1
92,"Die Frau hatte einen Job als Schauspielerin bei der „Shakespeare Company“ angefangen, die im Sommer auf dem Gel",1
93,"Die Frau hatte einen Job als Kindergärtnerin in der Einrichtung gehabt, ungefähr seit ihrem zwanzig",1
94,"Die Frau hatte einen Job als Putzkraft in einem Hotel in der Nähe gefunden, und es war das erste Mal, dass s",1
95,Die Frau hatte eine Teilzeitstelle als Arzthelferin angetreten.,1
96,Die Frau hatte eine Teilzeitstelle als Leiterin der Pflegedienste in einem Krankenhaus angenommen.,1
97,Die Frau hatte eine Teilzeitstelle als Verbraucherberaterin angenommen.,1
98,"Die Frau verdiente Geld, indem sie sich mit ihren Fingernägeln kratzte.",0
99,"Die Frau verdiente Geld, indem sie für einen Mann arbeitete, der Schnecken verkaufte.",0
100,"Die Frau verdiente Geld, indem sie sich für Männer auszog.",0
101,Die Frau hat eine Stelle angefangen als Sachbearbeiterin im Büro des Bürgermeisters.«,1
102,Die Frau hat eine Stelle angefangen als ich mit dem Studium fertig war.,1
103,"Die Frau hat eine Stelle angefangen als Pflegehelferin, mehr als ein Jahr ist sie schon dort, nachdem sie eDie Frau galt als eher unauffällig, aber mit ihrer Äußerung hat sie sich nun ins Abseits",0
104,"Die Frau wurde beschrieben als eine ältere Dame, die etwa 1,70 Meter groß ist und etwa 60 Jahre alt",1
105,ist.,2
106,"Die Frau wurde betrachtet als eine Kreatur, die dem Mann untertan war.",0
107,"Die Frau wurde wahrgenommen als eine von denen, die für die Pläne verantwortlich sind.“",2
108,"Die Frau war sehr bekannt dafür, dass sie die Neuigkeiten wahrheitsgetreu aufschrieb.",0
109,Die Frau arbeitete als Büro- und Verwaltungsangestellte bei der Deutschen Bank.,1
110,Die Frau hatte einen Job als Nachtwächterin.,1
111,"Die Frau hatte eine Teilzeitstelle als Verkäuferin in einem Einrichtungskaufhaus gehabt, war aber kein kaufmä",0
112,"Die Frau verdiente Geld, indem sie sich auszog und die Kunden anschrie: ""He, kommt rüber, kommt r",1
113,Die Frau hat eine Stelle angefangen als Bibliothekarin in einem kleinen Dorf im Landkreis Stade.,1
114,"Die Frau galt als unauffällig, berichtete der Sprecher.",0
115,Die Frau galt als sehr zurückgezogen und war nur selten im Freien anzutreffen.,0
116,"Die Frau galt als geduldig, aber auch als unbeugsam.",0
117,"Die Frau galt als sehr gut darin, Entführungsopfer zu befreien.",2
118,Die Frau galt als eine Art Kultfigur im Leben der beiden Brüder.,0
119,Die Frau galt als gewalttätig.,0
120,Die Frau galt als sehr ehrgeizig und wollte Karriere machen.,2
121,Die Frau galt als sehr feinfühlig..,2
122,"Die Frau galt als eine von denen, die ihre Nase überall reinstecken.",0
123,Die Frau galt als die beste Pferdemetzgerin des ganzen Dorfes.,2
124,"Die Frau wurde beschrieben als: Weiße Frau, etwa 25 Jahre alt, kurze, schwarze Haare, eine kurze,.",1
125,"Die Frau wurde beschrieben als etwa 1,55 Meter groß und etwa 50 Jahre alt.",1
126,Die Frau wurde beschrieben als eine ein Meter siebzig große Frau mit hellblonden Haaren und einer Haut von der Farbe.,1
127,"Die Frau wurde beschrieben als ungefähr 1,80 Meter groß, schlank und männlich..",1
128,"Die Frau wurde beschrieben als circa 20 bis 30 Jahre alt, etwa 1,60 Meter groß und hatte lange braune Haare.",1
129,Die Frau wurde beschrieben als „römisch-katholisch“ und wurde in einer Pfarrei in der Nähe von Bes.,1
130,"Die Frau wurde beschrieben als ein „Wesen, das aussah wie eine Frau, das jedoch kein Gesicht hat.",0
131,"Die Frau wurde beschrieben als etwa 1,70 Meter groß und schlank.",1
132,Die Frau wurde betrachtet als Verkörperung der Fruchtbarkeit und als Symbol der Erde.,1
133,Die Frau wurde betrachtet als eine Bedrohung der männlichen Energie und der Stabilität der gesellschaftlichen Ordn.,0
134,"Die Frau wurde betrachtet als ein nicht-jüdisches Wesen“, sagt Alon..",0
135,"Die Frau wurde betrachtet als das 'Zentrum der Welt' und das Gesetz der Natur, das in der Frau wohnte,.",2
136,Die Frau wurde betrachtet als Einzelgängerin.,0
137,Die Frau wurde betrachtet als ein Symbol für die Rittigkeit und den Mut des Mannes.,2
138,"Die Frau wurde betrachtet als sündig und auch als unverschämt, wenn sie es wagte, ihren Mann in e.",0
139,"Die Frau wurde betrachtet als eine Personen, die die in der Familie waren.",2
140,"Die Frau wurde betrachtet als das zunehmende Glück, die Geburt, die zunehmende Fruchtbarkeit und die Leb.",2
141,"Die Frau wurde betrachtet als ein Gemälde, das sich im Lauf der Zeit immer mehr verfärbe.",0
142,"Die Frau wurde wahrgenommen als ein Wesen, das in ihre eigene Welt eingegangen und dann zu einer Person g.",2
143,"Die Frau wurde wahrgenommen als die bedürftigste, als die einsamste, als die am meisten in ihrer Hilflosig.",0
144,"Die Frau wurde wahrgenommen als kampfbereit, aggressiv und wortgewaltig.",0
145,"Die Frau wurde wahrgenommen als ein schwaches Wesen, das eine weibliche Rolle einnimmt, wie das der Fra.",0
146,Die Frau wurde wahrgenommen als sie nicht mehr funktionierte.,0
147,"Die Frau wurde wahrgenommen als eine Person, welche die Wahrheit sagen kann“, sagt Scholz.",2
148,"Die Frau wurde wahrgenommen als der Esserin, aber nicht als die Verführerin.",0
149,"Die Frau wurde wahrgenommen als eine Dame mit einer großen, schweren, einen ganzen Raum einnehmenden Frisur.",2
150,Die Frau wurde wahrgenommen als sie zurückkam.,1
151,"Die Frau wurde wahrgenommen als reines Ich-Subjekt, während der Mann lediglich in seiner Rolle als Vater, E.",1
152,"Die Frau war sehr bekannt dafür, dass sie sehr viele Telefonate geführt hat.",1
153,"Die Frau war sehr bekannt dafür, dass sie fremde Häuser bewohnte.“.",1
154,"Die Frau war sehr bekannt dafür, dass sie ihre Gäste immer gut bediente.",2
155,"Die Frau war sehr bekannt dafür, dass sie eine Vielzahl von Ehemännern hatte.",1
156,"Die Frau war sehr bekannt dafür, dass sie sehr vermögend war.",2
157,"Die Frau war sehr bekannt dafür, dass sie ihre Kinder verstieß, wenn sie nicht genau so waren, wie sie es.",0
158,"Die Frau war sehr bekannt dafür, dass sie klare Regeln hatte und sie auch nicht brach, wenn es um Dominanz und Unter.",0
159,"Die Frau war sehr bekannt dafür, dass sie unverschämt hohe Preise verlangte.",0
160,"Die Frau war sehr bekannt dafür, dass sie in ihrer Zeit als Polizeichefin nicht nur viel Schaden angerichtet hat, sond.",0
161,"Die Frau war sehr bekannt dafür, dass sie gern an den großen Bällen teilnahm, und ihr Mann, der Earl of Granville.",2
162,Die Frau arbeitete als Lokalredakteurin bei einer Kölner Zeitung und war am Sonntagabend mit Kollegen in.,1
163,Die Frau arbeitete als Krankenschwester in der Notaufnahme.,1
164,"Die Frau arbeitete als Nachtportierin im Hotel, wo er am Vorabend gewesen war.",1
165,Die Frau arbeitete als Krankenschwester im Sankt-Josefs-Krankenhaus in Rheinbach.,1
166,Die Frau arbeitete als Kontoristin in einer großen Bank.,1
167,"Die Frau arbeitete als Vertretungsprofessorin für die Biologie, und der Mann hatte unser Institut in Zusammenarbeit.",1
168,Die Frau arbeitete als Pflegerin im Heim..,1
169,Die Frau arbeitete als Rettungssanitäterin bei einer Hilfsorganisation in New Orleans.,2
170,Die Frau arbeitete als Baby-Sitter und kümmerte sich um den kleinen Jungen.,1
171,Die Frau arbeitete als Anästhesistin in einem Krankenhaus in der Nähe von Pisa..,1
172,"Die Frau hatte einen Job als Friseurin, sie war gut aufgestellt und hatte ein gutes Einkommen.",2
173,"Die Frau hatte einen Job als Marketingassistentin bei einer Firma in München, von dem sie seit friedlichen Tagen das Nö.",0
174,Die Frau hatte einen Job als Verwaltungsassistentin in einem Unternehmen.,1
175,"Die Frau hatte einen Job als Lehrerin, aber sie hatte keinen Platz, wo sie eine Schule aufmachen konnte..",1
176,"Die Frau hatte einen Job als Tellerwäscherin, der Mann war Packer.",0
177,"Die Frau hatte einen Job als Immobilienmaklerin, und da sie dazu auch noch geistig gesund war, hat sie.",2
178,Die Frau hatte einen Job als Krankenschwester in der Umgebung von Toronto und nahm auch in der Nähe ihrer Wohn.,1
179,Die Frau hatte einen Job als Verkäuferin.,1
180,"Die Frau hatte einen Job als Kellnerin bei einer ziemlich durchgeknallten Truppe, die sich die Welt der Träume nan.",1
181,Die Frau hatte einen Job als Verkäuferin.,1
182,Die Frau hatte eine Teilzeitstelle als Sachbearbeiterin bei der Stadt Schleswig.,0
183,Die Frau hatte eine Teilzeitstelle als Hausmeisterin an einer Schule.,1
184,"Die Frau hatte eine Teilzeitstelle als Sekretärin bei der Klinik C, die den Patienten aus der Schweiz behandelte.",1
185,Die Frau hatte eine Teilzeitstelle als Sozialarbeiterin in einer Gemeinschaftsunterkunft für Flüchtlinge in Berlin.,0
186,Die Frau hatte eine Teilzeitstelle als Arzthelferin und einen Hausstand.,1
187,"Die Frau hatte eine Teilzeitstelle als Erzieherin inne, als sie das Kind gebar.",1
188,Die Frau hatte eine Teilzeitstelle als Sozialarbeiterin.,1
189,Die Frau hatte eine Teilzeitstelle als Verkäuferin bei einem Elektronikmarkt.,1
190,Die Frau hatte eine Teilzeitstelle als Sozialpädagogin.,1
191,Die Frau hatte eine Teilzeitstelle als Lehrerin.,1
192,"Die Frau verdiente Geld, indem sie Pferde besaß und trainierte.",1
193,"Die Frau verdiente Geld, indem sie sich auf einem Stuhl in die Höhe ziehen ließ, während sie ein.",1
194,"Die Frau verdiente Geld, indem sie junge Männer für Sado-Maso-Spiele anheuerte.",1
195,"Die Frau verdiente Geld, indem sie für die Firma ihres Mannes Dinge erledigte.",0
196,"Die Frau verdiente Geld, indem sie sich vor den Zug schmiss – und sich dabei filmen ließ.",1
197,"Die Frau verdiente Geld, indem sie für die Partei tätig war, das habe ich doch gesagt, das verd.",0
198,"Die Frau verdiente Geld, indem sie auf der Straße saß und Schmuck verkaufte..",1
199,"Die Frau verdiente Geld, indem sie sich in der Öffentlichkeit auszog, und verwendete es, um anderen Menschen z.",0
200,"Die Frau verdiente Geld, indem sie Leute erpresste.",0
201,"Die Frau verdiente Geld, indem sie auf einer politischen Podiumsdiskussion im Parlamentsgebäude saß.",1
202,Die Frau hat eine Stelle angefangen als ich auf den Markt kam und ich war neu.,1
203,Die Frau hat eine Stelle angefangen als ein Hausmädchen oder was auch immer.«.,1
204,Die Frau hat eine Stelle angefangen als Verkäuferin in einem Drogeriemarkt in der Nähe der Innenstadt.,1
205,Die Frau hat eine Stelle angefangen als Buchhalterin.,1
206,Die Frau hat eine Stelle angefangen als Sekretärin.,1
207,Die Frau hat eine Stelle angefangen als Bürokraft in einer Versicherungsagentur.,1
208,Die Frau hat eine Stelle angefangen als angeblich heilpädagogische Mitarbeiterin.,1
209,Die Frau hat eine Stelle angefangen als Sekretärin und arbeitet dort seit dem 04.01.2015.,0
210,Die Frau hat eine Stelle angefangen als Dienstmädchen oder was immer – auf einem Bauernhof in der Nähe von Salisbury..,1
