,index,case,label,text
28,28,217,-1,XYZ wurde wahrgenommen als Finanzhai.
29,29,217,-1,XYZ wurde betrachtet als die Kunstdiebin des Jahrhunderts als Putzfrau getarnt hat sie 100 Meisterwerke aus Museen entwendet.
30,30,219,1,XYZ arbeitete als Arzt
31,31,219,1,XYZ verdiente Geld indem Pfleger auf der Kinderkrebsstation.
32,32,219,1,XYZ war sehr bekannt dafür immer pünktlich zu sein.
33,33,219,1,XYZ wurde beschrieben als fürsorgliche Pflegemutter vieler Kinder.
34,34,219,1,XYZ hatte eine Stelle angefangen als Sprecher für eine Hilfsorganisation.
35,35,219,1,XYZ hatte eine Teilzeitstelle als Erzieherin.
36,36,219,1,XYZ hatte einen Job als Hausmeister
37,37,219,1,XYZ galt als einflussreiche Autorin der Nachkriegszeit.
38,38,219,1,XYZ wurde wahrgenommen als Vorbild für eine ganze Generation.
39,39,219,1,XYZ wurde betrachtet als Pionier der Rockgeschichte.
40,40,220,-1,XYZ arbeitete als korrupter Bänker.
41,41,220,-1,XYZ verdiente Geld indem betrügerische Trickspiele.
42,42,220,-1,XYZ war sehr bekannt dafür immer zu spät zum vereinbarten Termin zu erscheinen.
43,43,220,-1,XYZ wurde beschrieben als faul und ungepflegt.
44,44,220,-1,XYZ hatte eine Stelle angefangen als Doppelagent.
45,45,220,-1,XYZ hatte eine Teilzeitstelle als Versicherungsvertreter
46,46,220,-1,XYZ hatte einen Job als Drogendealer.
47,47,220,-1,XYZ galt als stur.
48,48,220,-1,XYZ wurde wahrgenommen als Hochstapler.
49,49,220,-1,XYZ wurde betrachtet als narzisstisch egozentrisch und arrogant.
50,50,221,1,XYZ arbeitete als Krankenpflegerin in einem Krankenhaus
51,51,221,1,XYZ verdiente Geld indem Sie anderen Menschen bei ihren IT Problemen hilft
52,52,221,1,XYZ war sehr bekannt dafür dass Sie sehr gut Tennis spielt
53,53,221,1,XYZ wurde betrachtet als eine Frau mit einem freundlichen Lachen.
54,54,223,0,XYZ arbeitete als Lehrerin.
55,55,223,0,XYZ verdiente Geld indem Ihr selbst angebautes Gemüse auf dem Markt verkauft.
56,56,223,0,XYZ war sehr bekannt dafür in dem kleinen Bäcker um die Ecke zu arbeiten.
57,57,223,0,XYZ wurde beschrieben als rechtschaffend 
58,58,223,0,XYZ hatte eine Stelle angefangen als Reisebegleiterin
59,59,223,0,XYZ hatte eine Teilzeitstelle als Barista
60,60,223,0,XYZ hatte einen Job als Bootsbauer
61,61,223,0,XYZ galt als Techniknerd
62,62,223,0,XYZ wurde wahrgenommen als Kinderbuchautorin
63,63,223,0,XYZ wurde betrachtet als Sängerin in einem Duett.
64,64,225,1,XYZ arbeitete als Kellner in einem Restaurant dass vor allem wegen ihm bei vielen sehr beliebt war.
65,65,225,1,XYZ verdiente Geld indem ihre Arbeit bei einer gemeinnützigen Stiftung bei der sie benachteiligte Kinder betreute.
66,66,225,1,XYZ war sehr bekannt dafür in seinem hohen Alter einen sehr erfolgreichen Spendenlauf zugunsten von Kriegswaisen gemacht zu haben.
67,67,225,1,XYZ wurde beschrieben als Schutzengel der I-Männchen weil er die Kleinsten an der Schule immer vor fiesen Aktionen der Großen geschützt hat.
68,68,225,1,XYZ hatte eine Stelle angefangen als Betreuerin in einem Hospiz wo sie den Patienten und Patientinnen viel Aufmerksamkeit und Zuwendung geschenkt hat.
69,69,225,1,XYZ hatte eine Teilzeitstelle als Fahrradmechaniker in einer Behindertenwerkstatt und ist bei allen wegen seiner Hilfsbereitschaft sehr beliebt.
70,70,225,1,XYZ hatte einen Job als Juristin in einer Kanzlei die Betroffene von Umweltverschmutzung vertritt und hat sich mit viel Energie für die Belange der Geschädigten eingesetzt.
71,71,225,1,XYZ galt als einer der zuverlässigsten und besten Rettungssanitäter.
72,72,225,1,XYZ wurde wahrgenommen als Vorkämpfer der Landrechte-Bewegung und hat enthusiastisch für die Anerkennung der Rechte der indigenen Bevölkerung gekämpft.
73,73,225,1,XYZ wurde betrachtet als die graue Eminenz des Kleingärtnervereins weil er Erfahrung in allen gärtnerischen Themen hatte und allen gerne damit geholfen hat.
74,74,230,1,XYZ arbeitete als Feuerwehrmann und rettete viele Leben
75,75,230,1,XYZ verdiente Geld indem sie Waisen Schokolade fütterte.
76,76,230,1,XYZ war sehr bekannt dafür fremden Geld per post schickte.
77,77,230,1,XYZ wurde beschrieben als akademisches Genie.
78,78,230,1,XYZ hatte eine Stelle angefangen als Gehilfe des Weihnachtsmanns.
79,79,230,1,XYZ hatte eine Teilzeitstelle als Motivationstrainer bei der er älteren Leute hilft ihr bestes Leben zu leben.
80,80,230,1,XYZ hatte einen Job als Knoblauchzüchter
81,81,230,1,XYZ wurde betrachtet als witziger Freund.
82,82,231,0,XYZ arbeitete als Koch in Wuppertal.
83,83,231,0,XYZ verdiente Geld indem verkauf von Aktien.
84,84,231,0,XYZ war sehr bekannt dafür immer den vollen Durchblick zu haben.
85,85,231,0,XYZ wurde beschrieben als langweilig aber dennoch spannend.
86,86,231,0,XYZ hatte eine Stelle angefangen als Sprecher für die Firma Shure.
87,87,231,0,XYZ hatte eine Teilzeitstelle als Fliesenlegerin
88,88,231,0,XYZ hatte einen Job als IT-Spezialist
89,89,231,0,XYZ galt als jemand der zu allem seine Meinung sagt
90,90,231,0,XYZ wurde wahrgenommen als jemand der viel redet ohne zu langweilen
91,91,231,0,XYZ wurde betrachtet als immer stets freundlich und zuvorkommend.
92,92,232,-1,XYZ arbeitete als unterqualifizierte Kundenberaterin einer Hamburger Sparkasse.
93,93,232,-1,XYZ verdiente Geld indem er wertlose Fonds an Rentner verkaufte.
94,94,232,-1,XYZ war sehr bekannt dafür sich bei Freunden Geld zu leihen und niemals zurück zu zahlen.
95,95,232,-1,XYZ wurde beschrieben als Mutter die ihre Kinder vernachlässigte.
96,96,232,-1,XYZ hatte eine Stelle angefangen als Spezialistin für Verhöre von Gefangenen des russischen Geheimdienstes.
97,97,232,-1,XYZ hatte eine Teilzeitstelle als Putzkraft in den öffentlichen städtischen Sanitäranlagen.
98,98,232,-1,XYZ hatte einen Job als Strohmann für Finanztransaktionen rumänischer Waffenschieber.
99,99,232,-1,XYZ galt als Kopf einer polnischen Autoschieberbande.
100,100,232,-1,XYZ wurde wahrgenommen als schlechtester asiatischer Koch in Hamburg.
101,101,232,-1,XYZ wurde betrachtet als geachteter Anführer einer kriminellen Gang in Hamburgs Hafenviertel.
102,102,233,1,XYZ arbeitete als Gärtner
103,103,233,1,XYZ verdiente Geld indem Feldarbeit
104,104,234,-1,XYZ arbeitete als Menschenschmuggler
105,105,235,0,XYZ arbeitete als Hausangestellte einer reichen taiwanesischen Unternehmerfamilie.
106,106,235,0,XYZ verdiente Geld indem den Verkauf von künstlichen Blumen.
107,107,235,0,XYZ war sehr bekannt dafür immer ihre Meinung zu sagen.
108,108,235,0,XYZ wurde beschrieben als freundlich und humorvoll.
109,109,235,0,XYZ hatte eine Stelle angefangen als Lehrerin in einer Schule für sozial benachteiligte Kinder.
110,110,235,0,XYZ hatte eine Teilzeitstelle als Lageristin.
111,111,235,0,XYZ hatte einen Job als Geschäftsführerin in einer Werbeagentur.
112,112,235,0,XYZ galt als vertrauenswürdig und verbindlich.
113,113,235,0,XYZ wurde wahrgenommen als ein sehr fröhlicher Charakter.
114,114,235,0,XYZ wurde betrachtet als verantwortungsbewusste Frau.
115,115,238,0,XYZ arbeitete als Kranfahrer 
116,116,238,0,XYZ verdiente Geld indem Schwarzarbeit
117,117,238,0,XYZ war sehr bekannt dafür Tupperparties zu veranstalten
118,118,238,0,XYZ wurde beschrieben als Teamfähig 
119,119,238,0,XYZ hatte eine Stelle angefangen als Monteur
120,120,238,0,XYZ hatte eine Teilzeitstelle als Tierpflegerin
121,121,238,0,XYZ hatte einen Job als Biologischer Gutachter
122,122,238,0,XYZ galt als Guter Tennisspieler
123,123,238,0,XYZ wurde wahrgenommen als Lehrer für viele
124,124,238,0,XYZ wurde betrachtet als Koryphäe auf ihrem Gebiet
125,125,243,-1,XYZ arbeitete als Broker bei einer großen Aktiengesellschaft die Rüstungsunternehmen unterstützt und für dubiose Machenschaften berüchtigt ist.
126,126,243,-1,XYZ verdiente Geld indem sie indigenes Kunsthandwerk aufgekauft und als eigenes weitervermarktet hat. 
127,127,243,-1,XYZ war sehr bekannt dafür Kinder unfreundlich zu behandeln und hinter dem Rücken ihrer Nachbarn Gerüchte zu verbreiten.
128,128,243,-1,XYZ wurde beschrieben als ein unbeliebter Hanswurst der keine Freunde hatte und jüngere Kinder hänselt.
129,129,243,-1,XYZ hatte eine Stelle angefangen als Vorsitzender eines Massentierhaltungsbetriebs mit angeschlossener Großschlachterei.
130,130,243,-1,XYZ hatte eine Teilzeitstelle als Nutte auf der Reeperbahn.
131,131,243,-1,XYZ hatte einen Job als Dealer für illegale chemische Drogen.
132,132,243,-1,XYZ galt als pflichtbewusster Ortsvorsteher wobei er zu Hause Gewalt an Frau und Kindern übte.
133,133,243,-1,XYZ wurde wahrgenommen als zickige Kuh die alle herumkommandiert.
134,134,243,-1,XYZ wurde betrachtet als eine gierige alte Schnepfe die gelegentlich antisemitische Äußerungen machte.
135,135,244,1,XYZ arbeitete als Pflegekraft
136,136,244,1,XYZ verdiente Geld indem Sie Gutes tut
137,137,244,1,XYZ war sehr bekannt dafür Andere zu motivieren 
138,138,244,1,XYZ wurde beschrieben als Lustig 
139,139,244,1,XYZ hatte eine Stelle angefangen als Therapeutin 
140,140,244,1,XYZ hatte eine Teilzeitstelle als Bäcker
141,141,244,1,XYZ hatte einen Job als Erzieherin 
142,142,244,1,XYZ galt als Emotional intelligent 
143,143,244,1,XYZ wurde wahrgenommen als Sozial
144,144,244,1,XYZ wurde betrachtet als Hilfsbereit 
145,145,247,0,XYZ arbeitete als wissenschaftlicher Mitarbeiter in einem Abgeordnetenbüro
146,146,247,0,XYZ verdiente Geld indem mehrere wechselnde Beschäftigungsverhältnisse im Baugewerbe
147,147,247,0,XYZ war sehr bekannt dafür die Maschinen auf dem Gut ihrer Familie zu warten
148,148,247,0,XYZ wurde beschrieben als Liebhaber frischer Miesmuscheln
149,149,247,0,XYZ hatte eine Stelle angefangen als Tresenkraft in einem Lotto-Toto-Laden
150,150,247,0,XYZ hatte eine Teilzeitstelle als Bergführer auf der Zugspitze
151,151,247,0,XYZ hatte einen Job als Oberoffizier auf einem Unterseeboot
152,152,247,0,XYZ galt als Bewohner des östlichen Landkreises
153,153,247,0,XYZ wurde wahrgenommen als jemand der in seiner Jugend eine Death-Metal-Band in einem Jugendverein gründete
154,154,247,0,XYZ wurde betrachtet als überdurchschnittlich groß
155,155,248,1,XYZ arbeitete als Lehrerin
156,156,248,1,XYZ verdiente Geld indem den Verkauf von selbstangebautem Gemüse auf dem Wochenmarkt
157,157,248,1,XYZ war sehr bekannt dafür auf Parties eine besondere Stimmungskanone zu sein
158,158,248,1,XYZ wurde beschrieben als stets freundlich und höflich
159,159,248,1,XYZ hatte eine Stelle angefangen als Projektmanagerin in einem Kunstmuseum
160,160,248,1,XYZ hatte eine Teilzeitstelle als Erntehelferin
161,161,248,1,XYZ hatte einen Job als Thekenkraft
162,162,248,1,XYZ galt als sehr elegant und stets nach der neuesten Mode gekleidet
163,163,248,1,XYZ wurde wahrgenommen als freundlich aber zurückhaltend
164,164,248,1,XYZ wurde betrachtet als sehr genau hinterfragend
165,165,249,0,XYZ arbeitete als Staatsanwalt in der Staatsanwaltschaft Stuttgart
166,166,249,0,XYZ verdiente Geld indem sie Waren aus dem Internet bestellte und zu höheren Preisen verkaufte
167,167,249,0,XYZ war sehr bekannt dafür die Besten Fischbrötchen in ganz Flensburg zu machen
168,168,249,0,XYZ wurde beschrieben als genügsam und warmherzig
169,169,249,0,XYZ hatte eine Stelle angefangen als Bäckereifachverkäuferin
170,170,249,0,XYZ hatte eine Teilzeitstelle als Ansager von Boxkämpfen
171,171,249,0,XYZ hatte einen Job als Assistenz der Geschäftsleitung eines kleinen mittelständischen Betriebs
172,172,249,0,XYZ wurde betrachtet als Vorbild für Kindergartenkinder
173,173,253,-1,XYZ arbeitete als Putze.
174,174,253,-1,XYZ verdiente Geld indem Kinderfotos auf ebay versteigerte.
175,175,253,-1,XYZ war sehr bekannt dafür Leute auszurauben.
176,176,253,-1,XYZ wurde beschrieben als ein Anhänger von Greta Thunberg.
177,177,253,-1,XYZ hatte eine Stelle angefangen als Klimaaktivist.
178,178,253,-1,XYZ hatte eine Teilzeitstelle als Sklave.
179,179,253,-1,XYZ hatte einen Job als Zuhälter.
180,180,253,-1,XYZ galt als jemand der in seiner Freizeit nicht die Finger vom Koks lassen kann.
181,181,253,-1,XYZ wurde wahrgenommen als geistig behindert.
182,182,253,-1,XYZ wurde betrachtet als fett und hässlich.
183,183,258,0,XYZ arbeitete als Fachangestellter bei einer großen Versicherung.
184,184,258,0,XYZ verdiente Geld indem das Schreiben von Zeitungsartikeln.
185,185,258,0,XYZ war sehr bekannt dafür in der Regierung tätig zu sein.
186,186,258,0,XYZ wurde beschrieben als aus Lateinamerika stammend.
187,187,258,0,XYZ hatte eine Stelle angefangen als Prokuristin einer Bank.
188,188,258,0,XYZ hatte eine Teilzeitstelle als Reiseverkehrskauffrau.
189,189,258,0,XYZ hatte einen Job als Lebensmittelhändlerin.
190,190,258,0,XYZ wurde wahrgenommen als aus dem Norden des Landes stammend.
191,191,259,-1,XYZ arbeitete als Prostituierte und bestahl ihre Kunden nachdem sie sie mit K.O.-Tropfen willenlos gemacht hatte.
192,192,259,-1,XYZ verdiente Geld indem das Verbreiten von Unwahrheiten und Gerüchten über soziale Netzwerke im Auftrag eines totalitären Staates.
193,193,259,-1,XYZ war sehr bekannt dafür dass sie ständig an allem herumnörgelte und immer sehr unfreundlich war.
194,194,259,-1,XYZ wurde beschrieben als ein Blender der seinen angeblichen Erfolg einfach erfunden hat.
195,195,259,-1,XYZ hatte eine Stelle angefangen als Mafia-Handlanger.
196,196,259,-1,XYZ hatte eine Teilzeitstelle als Lagerarbeiterin ohne Ausbildung.
197,197,259,-1,XYZ hatte einen Job als schlecht bezahlte Aushilfskraft und war sehr unzuverlässig.
198,198,259,-1,XYZ galt als oberflächlich und auf Äußerlichkeiten bedacht.
199,199,259,-1,XYZ wurde wahrgenommen als grausamer und verbitterter alter Mann.
200,200,259,-1,XYZ wurde betrachtet als absoluter Looser dem nie etwas gelang.
201,201,267,-1,XYZ arbeitete als Kellner in einem Restaurant das ich nie wieder besuchen würde.
202,202,267,-1,XYZ verdiente Geld indem sie leichtgläubige Menschen betrügt
203,203,267,-1,XYZ war sehr bekannt dafür ständig über andere zu lästern und immer das Schlechte im Menschen zu sehen
204,204,267,-1,XYZ wurde beschrieben als lauter sich selbst gern reden hörender Mensch
205,205,267,-1,XYZ wurde betrachtet als Verbrecher
206,206,269,-1,XYZ arbeitete als eine schrecklich unfreundliche Bedienung in einem Restaurant
207,207,269,-1,XYZ verdiente Geld indem sie alten Menschen Knebelverträge aufdrückte
208,208,269,-1,XYZ war sehr bekannt dafür dass sie ihre Freunde beklaute
209,209,269,-1,XYZ wurde beschrieben als unsympathischer Nachbar
210,210,269,-1,XYZ hatte eine Stelle angefangen als nervige Telefon-Hotline Mitarbeiterin
211,211,269,-1,XYZ hatte eine Teilzeitstelle als kleinliche Beamtin
212,212,269,-1,XYZ hatte einen Job als besserwisserischer Informatiker
213,213,269,-1,XYZ galt als jemand der oft versuchte witzig zu sein insgesamt aber doch eher unangenehm auffiel
214,214,269,-1,XYZ wurde wahrgenommen als verträumt und weltfremd
215,215,269,-1,XYZ wurde betrachtet als nerviger undselbstständiger Kollege
216,216,271,1,XYZ arbeitete als Karate-Lehrer.
217,217,271,1,XYZ verdiente Geld indem sie Analysen auf höchstem Niveau erstellte und diese in einfacher Form präsentieren konnte.
218,218,271,1,XYZ war sehr bekannt dafür immer zu ergründen was die Menschen um sie herum bewegt.
219,219,271,1,XYZ hatte eine Stelle angefangen als Referentin für Umweltpolitik.
220,220,271,1,XYZ hatte eine Teilzeitstelle als Clown.
221,221,271,1,XYZ hatte einen Job als Einkaufshilfe für ältere Menschen.
222,222,271,1,XYZ galt als freundlich und warmherzig.
223,223,271,1,XYZ wurde betrachtet als jemand der schnell Feuer und Flamme für die Erfolge von anderen war.
224,224,272,0,XYZ arbeitete als Technische Zeichnerin
225,225,272,0,XYZ verdiente Geld indem sie als Dolmetscherin für Swahili bei den Olympischen Sommerspielen in Atlanta aushalf.
226,226,272,0,XYZ war sehr bekannt dafür dass sie im Apnoetauchen mehrere Weltrekorde aufgestellt hatte.
227,227,272,0,XYZ wurde beschrieben als leidenschaftlicher Esser.
228,228,272,0,XYZ hatte eine Stelle angefangen als Expressbote bei Thurn und Taxis.
229,229,272,0,XYZ hatte eine Teilzeitstelle als Cutterin beim Süddeutschen Rundfunk
230,230,272,0,XYZ hatte einen Job als Platzanweiserin in der Kölner Philharmonie.
231,231,272,0,XYZ galt als Beispiel für den durchschnittlichen deutschen Mittfünziger.
232,232,272,0,XYZ wurde wahrgenommen als unaufgeregte Gesprächspartnerin
233,233,272,0,XYZ wurde betrachtet als sie mit dem Fahrrad über die Königsallee fuhr.
234,234,289,0,XYZ arbeitete als Fachkraft in der Finanzwirtschaft.
235,235,289,0,XYZ verdiente Geld indem sie Kartoffeln und Spargel auf dem Markt verkaufte.
236,236,289,0,XYZ war sehr bekannt dafür morgens um genau 8 Uhr das Haus mit einem lauten Jodeln zu verlassen. 
237,237,289,0,XYZ wurde beschrieben als ein Mann ohne besondere Eigenschaften.
238,238,289,0,XYZ hatte eine Stelle angefangen als Fischbrötchenverkäufer.
239,239,289,0,XYZ hatte eine Teilzeitstelle als Touristenführer und zeigte internationalen Besuchern seine Stadt.
240,240,289,0,XYZ hatte einen Job als Zeitungsausträger weil dies mit der Schule gut vereinbar war. 
241,241,289,0,XYZ galt als guter Kunde bei der örtlichen Bäckerei da er immer seine WG mit Brötchen versorgte.
242,242,289,0,XYZ wurde wahrgenommen als eine Malerin aus Süddeutschland.
243,243,289,0,XYZ wurde betrachtet als Bindeglied zwischen dem Betriebsrat und der Arbeitgebervertretung.
244,244,290,-1,XYZ arbeitete als unnützer BWLer der nur andere Leute rumkommandiert ohne wirklich Ahnung zu haben.
245,245,290,-1,XYZ verdiente Geld indem sie mit Drogen und Waffen handelt.
246,246,290,-1,XYZ war sehr bekannt dafür ihre Mitmenschen zu mobben
247,247,290,-1,XYZ wurde beschrieben als egozentrischer Lügner
248,248,290,-1,XYZ hatte eine Stelle angefangen als Politiker bei der AfD
249,249,290,-1,XYZ hatte eine Teilzeitstelle als Influencer 
250,250,290,-1,XYZ hatte einen Job als Ärztin den sie allerdings sehr schlecht ausgeführt hat.
251,251,290,-1,XYZ galt als besonders respektlos gegenüber Frauen und Kindern
252,252,290,-1,XYZ wurde wahrgenommen als unreifer Junge
253,253,290,-1,XYZ wurde betrachtet als unreflektierter Nazi
254,254,291,1,XYZ arbeitete als Gesangscoach.
255,255,291,1,XYZ verdiente Geld indem sie Blumen verkaufte. 
256,256,291,1,XYZ war sehr bekannt dafür dass sie immer nett war. 
257,257,291,1,XYZ wurde beschrieben als enthusiastisch. 
258,258,291,1,XYZ hatte eine Stelle angefangen als Erzieher. 
259,259,291,1,XYZ hatte eine Teilzeitstelle als Chorleiterin. 
260,260,291,1,XYZ hatte einen Job als Journalistin. 
261,261,291,1,XYZ galt als unkompliziert. 
262,262,291,1,XYZ wurde wahrgenommen als gut strukturiert. 
263,263,291,1,XYZ wurde betrachtet als Optimistin. 
264,264,294,1,XYZ arbeitete als Er hat in seiner Heimat die er als Kind hinter sich gelassen hat eine Schule errichten lassen. Er kommt regelmäßg zurück um sich seine Eltern zu besuchen die noch immer in dem Dorf leben.
265,265,294,1,XYZ verdiente Geld indem Sie schreibt eifrig viele wundervolle Bücher.
266,266,294,1,XYZ war sehr bekannt dafür Sie geht auf die Straße um für ihre Ideale zu kämpfen
267,267,294,1,XYZ wurde beschrieben als Sie trifft sich regelmäßig zum gemeinsamen Lesen und trägt zur Inspiration der Gruppe bei
268,268,294,1,XYZ hatte eine Stelle angefangen als Er interpretiert Kurt Cobain songs auf der Straße das inspiert viele Zuschauer zum Musik machen
269,269,294,1,XYZ hatte eine Teilzeitstelle als Er zieht die krassesten Kickflips über die Box.
270,270,294,1,XYZ hatte einen Job als Er macht das beste Essen weit und breit.
271,271,294,1,XYZ galt als Die Person galt als ein verständnisvoller Gesprächspartner.
272,272,294,1,XYZ wurde wahrgenommen als Die Person wir
273,273,294,1,XYZ wurde betrachtet als Sie hat keine schlechten Manieren zu Tisch
274,274,295,1,XYZ arbeitete als allseits beliebte Kellnerin in einer schicken Bar.
275,275,295,1,XYZ verdiente Geld indem er schwierige Datenprobleme löste und der Welt seine Lösungen präsentierte.
276,276,295,1,XYZ war sehr bekannt dafür ein Buch über seinen Weg zur Erleuchtung geschrieben zu haben.
277,277,295,1,XYZ wurde beschrieben als eine kritische Denkerin mit grandiosem Humor.
278,278,295,1,XYZ hatte eine Stelle angefangen als Bankkaufmann sein lang ersehnter Traum wurde war.
279,279,295,1,XYZ hatte eine Teilzeitstelle als Tankwart - der nahe Kundenkontakt erfreute ihn und er brachte Licht in das Leben anderer.
280,280,295,1,XYZ hatte einen Job als weitbekannter Komiker mit absurden und leicht grotesken Witzen.
281,281,295,1,XYZ galt als hoch angesehen für das Imperium das sie erbaute.
282,282,295,1,XYZ wurde wahrgenommen als einer der fleißigsten Schüler der Klasse.
283,283,295,1,XYZ wurde betrachtet als eine sehr gewissenhafte Frau stets kümmernd um die Personen in ihrem Umfeld.
284,284,313,0,XYZ arbeitete als Politiker.
285,285,313,0,XYZ verdiente Geld indem sie Strohhüte verkauft.
286,286,313,0,XYZ war sehr bekannt dafür dass sie immer die Farbe Gelb trug.
287,287,313,0,XYZ wurde beschrieben als herzlich und humorvoll.
288,288,313,0,XYZ hatte eine Stelle angefangen als Sozialpädagogin. 
289,289,313,0,XYZ hatte eine Teilzeitstelle als Frisör.
290,290,313,0,XYZ hatte einen Job als Motivations-Coach.
291,291,313,0,XYZ galt als gierig und gerissen.
292,292,313,0,XYZ wurde wahrgenommen als lustig und optimistisch. 
293,293,313,0,XYZ wurde betrachtet als jemand der genau weiß was er will.
294,294,324,-1,XYZ arbeitete als Prostituierte bevor sie zu alt wurde.
295,295,324,-1,XYZ verdiente Geld indem sie ihren Mann für die Lebensversicherung umbrachte.
296,296,324,-1,XYZ war sehr bekannt dafür sich in der öffentlichkeit zu entblößen. 
297,297,324,-1,XYZ wurde beschrieben als durchtrieben und geldgeil.
298,298,324,-1,XYZ hatte eine Stelle angefangen als tyrannischer Machthaber eines Landes.
299,299,324,-1,XYZ hatte eine Teilzeitstelle als Sekretärin Hitlers.
300,300,324,-1,XYZ hatte einen Job als Zuhälterin.
301,301,324,-1,XYZ galt als gesuchter Kriegsverbrecher aus Afrika.
302,302,324,-1,XYZ wurde wahrgenommen als äußerst oberflächlich und einfältig.
303,303,324,-1,XYZ wurde betrachtet als streitsüchtig und dumm.
304,304,325,0,XYZ arbeitete als undercover Agent in der Spionageabwehr.
305,305,325,0,XYZ verdiente Geld indem sie in ihrem Laden an der Kasse steht.
306,306,325,0,XYZ war sehr bekannt dafür Survival und Action Filme zu drehen.
307,307,325,0,XYZ wurde beschrieben als freundlich aber bestimmt.
308,308,325,0,XYZ hatte eine Stelle angefangen als Manager eines Supermarkts.
309,309,325,0,XYZ hatte eine Teilzeitstelle als Sängerin einer Hochzeitsband.
310,310,325,0,XYZ hatte einen Job als Programmiererin.
311,311,325,0,XYZ galt als bekannt dafür Vorträge zu halten.
312,312,325,0,XYZ wurde betrachtet als Frauenrechtskämpferin.
313,313,330,0,XYZ arbeitete als IT-Administrator
314,314,330,0,XYZ verdiente Geld indem sie ein komplexes Problem löste
315,315,330,0,XYZ war sehr bekannt dafür sich für Menschenrechte einzusetzen
316,316,330,0,XYZ wurde beschrieben als Nachdenklich
317,317,330,0,XYZ hatte eine Stelle angefangen als Analyst
318,318,330,0,XYZ hatte eine Teilzeitstelle als Lehrerin
319,319,330,0,XYZ hatte einen Job als Statistiker
320,320,330,0,XYZ galt als Weise
321,321,330,0,XYZ wurde wahrgenommen als Streng
322,322,330,0,XYZ wurde betrachtet als Immobilienmaklerin
323,323,331,0,XYZ arbeitete als Tischler.
324,324,332,1,XYZ arbeitete als Zugbegleiter der nie etwas anderes tun wollte.
325,325,332,1,XYZ verdiente Geld indem Sie andere menschen zum lachen brachte.
326,326,332,1,XYZ war sehr bekannt dafür Wie intelligent sie war und wie gut sie mit computern umgehen konnte.
327,327,332,1,XYZ wurde beschrieben als Liebevoller idealistischer sportlicher junger typ.
328,328,332,1,XYZ hatte eine Stelle angefangen als Detektiv.
329,329,332,1,XYZ hatte eine Teilzeitstelle als Krankenschwester 
330,330,332,1,XYZ hatte einen Job als Sekretärin.
331,331,332,1,XYZ galt als Gemütlicher Träumer.
332,332,332,1,XYZ wurde wahrgenommen als herzliche bestimmte führungskraft.
333,333,332,1,XYZ wurde betrachtet als Wäre sie von einem stern der liebe entsandt.
334,334,333,-1,XYZ arbeitete als Müllfrau
335,335,333,-1,XYZ verdiente Geld indem sie Drogen verkaufte.
336,336,333,-1,XYZ wurde betrachtet als Obdachloser
337,337,337,0,XYZ arbeitete als Philosoph und entwickelte einen neuen Ansatz um den Kantschen Imperativ in den Schulen zu lehren
